employee_id,name,email,department,salary,age,is_active
443156,Mr. Adam Fox,david18@example.org,HR,59733,43,True
417573,Christopher Hill,colonallen@example.net,IT,48000,39,False
344469,Dorothy Wilcox,kball@example.com,IT,57509,25,True
199574,Justin Clark,jonathanali@example.com,IT,71639,33,True
752802,Nathan Hart,bdavis@example.net,Finance,53682,39,True
509379,Autumn Wagner,sherrijones@example.net,Marketing,75798,34,True
415587,Stephen Joseph,vwarren@example.com,Operations,57085,35,True
219222,Brandon Park,lsullivan@example.com,HR,56856,36,False
402608,Stephanie Moses,victoria92@example.com,Marketing,66010,36,False
470324,Bryan Harris,kyle33@example.com,HR,60373,46,True
784657,Ricky Montgomery,angela13@example.org,Marketing,48000,43,True
594539,Katie Adams,wanda95@example.net,Operations,75575,33,True
683021,Janet Sullivan,caseyjennifer@example.net,HR,48000,35,True
666001,Justin Gonzalez,michael39@example.net,IT,52190,36,False
611745,Stephen Hernandez,aguirrejessica@example.com,Marketing,55170,44,True
620410,Susan Johnson,awright@example.net,Finance,56106,25,False
919469,Robert Perry,smithdonald@example.net,Marketing,48000,36,True
433828,Stephen Burke,christopherbird@example.org,Marketing,68903,28,False
933249,Jessica Dougherty,garciasonia@example.com,Marketing,65109,28,True
443258,Kristin Kennedy,ricejeffrey@example.net,Operations,74431,46,False
218948,Jamie Fowler,carriecook@example.com,Marketing,55676,25,False
326596,Anita Chapman,williamholder@example.org,HR,67541,29,False
853419,Debra Martinez,gonzalezamy@example.org,Marketing,63630,33,True
940419,Terri Meadows,uramos@example.org,Finance,56007,40,True
819687,Rachael Douglas,benderandrew@example.org,Operations,79123,37,True
325321,Patrick Gonzales,tammy55@example.com,Finance,67527,43,False
732247,Curtis Shepherd,bschroeder@example.com,HR,65415,28,False
866332,Cathy English,wanda93@example.net,Finance,48832,37,False
122026,April Love,gilbertrussell@example.net,Marketing,48000,30,True
494683,Cynthia Collier,rrubio@example.com,Marketing,57599,42,True
414584,Cynthia Thomas,rsparks@example.com,Marketing,64275,28,True
235160,Terry Johnson,lisa20@example.com,Marketing,64088,29,True
396732,Jamie Cox,paigekelly@example.net,Marketing,52120,37,True
803809,Michael Hull,katieadams@example.org,Finance,51458,37,True
